id;Dpto_codigo;SubDpto_id;Prenda_codigo;Categoria_codigo;Presentacion_id;prefijo
1;103;NULL;22;;NULL;00
2;105;NULL;31;;NULL;CATA
3;106;NULL;01;;NULL;AC
4;106;NULL;02;;NULL;73
5;106;NULL;03;;NULL;78
6;106;NULL;06;;NULL;150
7;106;NULL;08;;NULL;99M
8;106;NULL;09;55;NULL;10
9;106;NULL;09;45;NULL;11
10;106;NULL;09;24;NULL;12
11;106;NULL;09;08;NULL;13
12;106;NULL;09;62;NULL;14
13;106;11;09;;NULL;118
14;106;NULL;12;52;NULL;40
15;106;NULL;12;68;NULL;41
16;106;9;12;;NULL;141
17;106;NULL;13;;NULL;180
18;106;NULL;14;;NULL;32
19;106;NULL;16;;NULL;AC
20;106;NULL;17;;NULL;19
21;106;NULL;18;;NULL;AC
22;106;NULL;21;;NULL;101
23;106;NULL;22;04;NULL;70
24;106;NULL;22;01;NULL;60
25;106;NULL;25;;NULL;50
26;106;9;25;;NULL;150
27;106;14;34;;NULL;101
28;106;NULL;35;;NULL;AC
29;106;NULL;36;;NULL;AC
30;106;NULL;37;;NULL;AC
31;106;NULL;38;;NULL;AC
32;106;NULL;40;;NULL;56
33;106;NULL;41;52;NULL;61
34;106;NULL;41;51;NULL;71
35;106;NULL;42;52;NULL;61
36;106;NULL;42;51;NULL;71
37;106;NULL;43;;NULL;160
38;106;NULL;46;;NULL;AC
39;106;NULL;48;;NULL;AC
40;106;NULL;50;;NULL;52
41;108;NULL;03;;NULL;79
42;108;NULL;07;;NULL;93
43;108;NULL;08;;NULL;99H
44;108;NULL;10;;NULL;91
45;108;NULL;11;;NULL;98
46;108;NULL;12;;NULL;40
47;108;NULL;22;;NULL;67
48;108;NULL;26;;NULL;ZH
49;127;NULL;03;;NULL;69
50;127;NULL;08;;NULL;99NP
51;127;NULL;09;08;NULL;16
52;127;NULL;09;62;NULL;15
53;127;NULL;12;;NULL;45
54;127;NULL;22;01;NULL;65
55;127;NULL;22;04;NULL;75
56;127;NULL;25;;NULL;51
57;127;NULL;25;63;NULL;25
58;127;NULL;42;;NULL;75
59;128;NULL;03;;NULL;69
60;128;NULL;07;;NULL;97
61;128;NULL;08;;NULL;99NP
62;128;NULL;10;;NULL;95
63;128;NULL;12;;NULL;45
64;128;NULL;22;01;NULL;66
65;128;NULL;22;04;NULL;76
66;129;NULL;08;;NULL;99NP
67;129;NULL;09;;NULL;17
68;129;NULL;12;;NULL;47
69;129;NULL;22;04;NULL;73
70;129;NULL;22;01;NULL;63
71;129;NULL;42;;NULL;73
72;130;NULL;07;;NULL;97
73;130;NULL;08;;NULL;99NP
74;130;NULL;10;;NULL;97
75;130;NULL;12;;NULL;47
76;130;NULL;22;04;NULL;74
77;130;NULL;22;01;NULL;64
