IdArticulo;Cantidad;PRECIO DETALLE
90.10-AZU-XXL;897;0
90.10-MAR-XXL;928;0
90.10-NEG-XXL;945;0
91.10-AZU-XXL;427;0
91.10-BLA-XXL;435;0
91.10-BUR-XXL;422;0
91.10-GRI-XXL;434;0
91.10-PET-XXL;425;0
93.120-MOR-L;1000;0
93.120-MOR-M;1000;0
93.120-MOR-S;451;0
93.120-MOR-XL;850;0
93.120-NAR-L;1000;0
93.120-NAR-M;1000;0
93.120-NAR-S;451;0
93.120-NAR-XL;850;0
93.120-ROJ-L;1000;0
93.120-ROJ-M;1000;0
93.120-ROJ-S;451;0
93.120-ROJ-XL;850;0
93.121-CAL-L;1000;0
93.121-CAL-M;1000;0
93.121-CAL-S;451;0
93.121-CAL-XL;850;0
93.121-NEG-L;1000;0
93.121-NEG-M;1000;0
93.121-NEG-S;451;0
93.121-NEG-XL;850;0
93.121-VER-L;1000;0
93.121-VER-M;1000;0
93.121-VER-S;451;0
93.121-VER-XL;850;0
9316S-NEG-L;65;0
9316S-NEG-M;65;0
9316S-NEG-S;10;0
9316S-NEG-XL;10;0
9334S-CAL-L;31;0
9334S-CAL-M;22;0
9334S-CAL-S;1;0
9334S-MOR-L;28;0
9334S-MOR-M;31;0
9334S-NEG-L;52;0
9334S-NEG-M;52;0
9334S-NEG-S;1;0
9334S-NEG-XL;1;0
9336S-AZU-L;49;0
9336S-AZU-M;55;0
9336S-AZU-S;1;0
9336S-AZU-XL;1;0
9336S-NEG-L;49;0
9336S-NEG-M;49;0
9336S-NEG-S;1;0
9336S-NEG-XL;1;0
9336S-PET-L;22;0
9336S-PET-M;19;0
99HP302-SUR-39/42;1000;0
99HP302-SUR-43/46;1000;0
P250019-018-NEGD-42;810;0
P314014-NEG-M;30;0
S9323W-CAL-L;44;0
KH07-KAYSER;1000;1
